,total_annual_inc,fico_score,home_ownership,installment,loan_amnt,earliest_cr_line,issue_d,dti_jnt,mort_acc,term,verification_status_joint,zip_code,open_acc,total_acc,revol_util,credit_ratio,installment_ratio,credit_history
425,195000.0,672.0,3,1077.03,27500.0,101999,32018,15.57,0.0,0,0,34,13.0,18.0,96.8,0.722,0.039,6726
426,136000.0,692.0,3,667.04,30000.0,012009,32018,25.68,1.0,1,0,43,7.0,15.0,68.4,0.467,0.022,3346
427,170000.0,677.0,3,973.74,30000.0,092001,32018,47.04,3.0,1,1,35,13.0,19.0,63.9,0.684,0.032,6025
428,86900.0,697.0,1,737.38,20000.0,112001,32018,39.87,0.0,0,1,93,6.0,10.0,69.1,0.6,0.037,5964
429,160000.0,752.0,3,491.92,16000.0,082005,32018,13.14,0.0,0,2,70,4.0,16.0,26.0,0.25,0.031,4595
430,85000.0,732.0,3,217.23,7000.0,092005,32018,46.08,0.0,0,0,30,12.0,18.0,13.6,0.667,0.031,4564
431,154111.0,677.0,3,127.68,3350.0,042000,32018,24.98,3.0,0,0,33,5.0,25.0,72.7,0.2,0.038,6543
432,144000.0,732.0,2,1307.66,36800.0,012000,32018,23.44,0.0,0,2,92,9.0,12.0,53.2,0.75,0.033,6634
433,224800.0,742.0,3,209.5,6500.0,121999,32018,18.7,1.0,0,1,60,6.0,17.0,0.0,0.353,0.032,6665
434,121000.0,762.0,3,1018.51,36800.0,082009,32018,4.36,2.0,1,0,94,10.0,18.0,5.9,0.556,0.026,3134
435,136000.0,667.0,3,393.05,12000.0,052011,32018,17.16,1.0,1,0,08,10.0,14.0,58.0,0.714,0.033,2496
436,128000.0,672.0,2,193.29,5000.0,052006,32018,11.28,0.0,0,0,70,10.0,35.0,20.0,0.286,0.039,4322
437,146000.0,762.0,3,1134.48,34950.0,122002,32018,47.04,2.0,0,1,37,12.0,31.0,21.3,0.387,0.032,5569
438,205000.0,722.0,3,291.03,8000.0,082010,32018,36.35,2.0,0,0,75,13.0,27.0,51.3,0.481,0.036,2769
439,182000.0,712.0,3,234.89,7500.0,011995,32018,7.78,1.0,0,0,27,12.0,26.0,8.0,0.462,0.031,8460
440,125000.0,712.0,3,227.23,7000.0,011998,32018,11.76,1.0,0,1,97,5.0,12.0,2.2,0.417,0.032,7364
441,190600.0,687.0,3,237.53,11200.0,071998,32018,18.94,3.0,1,2,68,14.0,37.0,0.2,0.378,0.021,7183
442,300000.0,667.0,2,1021.22,26075.0,112005,32018,13.61,0.0,0,0,20,6.0,7.0,80.9,0.857,0.039,4503
443,118000.0,712.0,3,201.04,6000.0,012006,32018,28.52,4.0,0,2,35,9.0,28.0,53.5,0.321,0.034,4442
444,255576.0,667.0,3,332.05,10000.0,102007,32018,18.69,0.0,0,0,92,10.0,16.0,77.1,0.625,0.033,3804
445,200000.0,757.0,3,1340.45,36800.0,021996,32018,26.0,5.0,0,2,96,11.0,22.0,15.1,0.5,0.035,8064
446,120678.0,732.0,3,254.5,12000.0,101999,32018,13.01,4.0,1,1,68,7.0,38.0,38.6,0.184,0.021,6726
447,207000.0,702.0,3,98.08,3000.0,091997,32018,9.36,4.0,0,2,54,9.0,43.0,5.7,0.209,0.033,7486
448,110600.0,712.0,3,372.4,12000.0,091973,32018,42.58,1.0,0,1,95,7.0,10.0,31.8,0.7,0.031,16252
449,169672.0,737.0,3,261.54,8000.0,101990,32018,28.92,1.0,0,1,29,22.0,37.0,33.3,0.595,0.033,10013
450,76600.0,732.0,1,461.03,20000.0,101999,32018,17.68,0.0,1,1,01,14.0,26.0,17.0,0.538,0.023,6726
451,240000.0,787.0,3,1127.45,36000.0,111998,32018,8.83,1.0,0,0,20,10.0,13.0,0.6,0.769,0.031,7060
452,166052.0,787.0,3,831.0,36050.0,111998,32018,11.12,2.0,1,1,72,5.0,14.0,9.2,0.357,0.023,7060
453,171000.0,732.0,1,483.45,15000.0,022006,32018,17.06,1.0,0,2,77,8.0,17.0,41.8,0.471,0.032,4411
454,116400.0,727.0,1,820.45,32000.0,081986,32018,12.25,1.0,1,0,78,5.0,17.0,6.7,0.294,0.026,11535
455,106000.0,737.0,3,469.77,15000.0,062007,32018,23.22,1.0,0,0,85,16.0,27.0,45.9,0.593,0.031,3926
456,205000.0,717.0,3,650.78,30000.0,062003,32018,12.59,1.0,1,0,93,12.0,29.0,30.4,0.414,0.022,5387
457,174000.0,677.0,3,703.24,20000.0,032007,32018,20.77,3.0,0,2,06,9.0,19.0,83.2,0.474,0.035,4018
458,250000.0,677.0,3,346.85,10000.0,112005,32018,23.65,0.0,0,2,42,13.0,33.0,41.9,0.394,0.035,4503
